"company","date_dt","frc","amount"
"АО ""РТ-Техприемка""",2025-10-01,Оценка и технический контроль,182000000
"АО ""РТ-Техприемка""",2025-10-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-10-01,Центр качества поставок,4250000
"АО ""РТ-Техприемка""",2025-10-01,Центр сертификации,1600000
"АО ""РТ-Техприемка""",2025-10-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-11-01,Оценка и технический контроль,182000000
"АО ""РТ-Техприемка""",2025-11-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-11-01,Центр качества поставок,4250000
"АО ""РТ-Техприемка""",2025-11-01,Центр сертификации,1600000
"АО ""РТ-Техприемка""",2025-11-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-12-01,Оценка и технический контроль,182000000
"АО ""РТ-Техприемка""",2025-12-01,Стратегия и инвестиции,5016666.67
"АО ""РТ-Техприемка""",2025-12-01,Центр качества поставок,2125000
"АО ""РТ-Техприемка""",2025-12-01,Центр сертификации,1800000
"АО ""РТ-Техприемка""",2025-12-01,Инновации и инжиниринг,625000
"АО ""РТ-Техприемка""",2025-10-01,Управление проектами и цифровизацией,3000000
"АО ""РТ-Техприемка""",2025-11-01,Управление проектами и цифровизацией,30000000
"АО ""РТ-Техприемка""",2025-12-01,Управление проектами и цифровизацией,4000000
"АО ""РТ-Техприемка""",2025-03-01,Центр компетенции и системы управления качеством ГК Ростех,3077660
"АО ""РТ-Техприемка""",2025-01-01,Центр компетенции и системы управления качеством ГК Ростех,3077670
"АО ""РТ-Техприемка""",2025-10-01,Центр компетенции и системы управления качеством ГК Ростех,3458660
"АО ""РТ-Техприемка""",2025-11-01,Центр компетенции и системы управления качеством ГК Ростех,3458660
"АО ""РТ-Техприемка""",2025-12-01,Центр компетенции и системы управления качеством ГК Ростех,3458660
